dc:modified	dc:created	dc:title	standard concept	xml:lang	reference	standard_code
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	13	13	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	Sea Cliffs and Rocky Offshore Islands	13.1	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	13.1	13.1	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	Coastal Caves/Karst	13.2	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	13.2	13.2	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	Coastal Sand Dunes	13.3	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	13.3	13.3	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	Coastal Brackish/Saline Lagoons/Marine Lakes	13.4	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	13.4	13.4	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	Coastal Freshwater Lakes	13.5	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	13.5	13.5	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	Artificial - Terrestrial	14	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	14	14	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	Arable Land	14.1	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	14.1	14.1	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	Pastureland	14.2	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	14.2	14.2	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	Plantations	14.3	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	14.3	14.3	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	Rural Gardens	14.4	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	14.4	14.4	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	Urban Areas	14.5	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	14.5	14.5	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	Subtropical/Tropical Heavily Degraded Former Forest	14.6	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	14.6	14.6	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	Karst and Other Subterranean Hydrological Systems [human-made]	15	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	15	15	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:51+01:00	Artificial - Aquatic	15	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	Marine Anthropogenic Structures	15.1	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	15.1	15.1	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:51+01:00	Water Storage Areas	15.1	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	Mariculture Cages	15.2	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	15.2	15.2	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:51+01:00	Ponds	15.2	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	Mari/Brackish-culture Ponds	15.3	en	en	title
2009-08-03T15:52:51+01:00	2009-08-03T15:52:51+01:00	15.3	15.3	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:51+01:00	Aquaculture Ponds	15.3	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	Salt Exploitation Sites	15.4	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	15.4	15.4	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	Excavations	15.5	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	15.5	15.5	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	Wastewater Treatment Areas	15.6	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	15.6	15.6	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	Irrigated Land	15.7	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	15.7	15.7	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	Seasonally Flooded Agricultural Land	15.8	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	15.8	15.8	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	Canals and Drainage Channels, Ditches	15.9	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	15.9	15.9	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	Introduced Vegetation	16	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	16	16	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	Other	17	en	en	title
2009-08-03T15:52:52+01:00	2009-08-03T15:52:52+01:00	17	17	en	en	title
2009-08-03T15:52:53+01:00	2009-08-03T15:52:53+01:00	Unknown	18	en	en	title
2009-08-03T15:52:53+01:00	2009-08-03T15:52:53+01:00	18	18	en	en	title
